sku,store,inventory,price,cost,DOH
100258,1009,20,3.98,1.05,11
101466675,1009,10,8.98,6.34,62
101890,1009,16,14.98,10.23,14
103159,1009,0,4.98,3.14,0
100258,1012,14,3.98,1.05,23
101466675,1012,10,8.98,6.34,54
103159,1012,3,4.98,3.14,5.275862069
100258,1017,18,3.98,1.05,15
103159,1017,2,4.98,3.14,3.301886793
100258,1018,16,3.98,1.05,17
103159,1018,2,4.98,3.14,2.27027027
100258,1024,15,3.98,1.05,19
103159,1024,0,4.98,3.14,0
100258,1030,17,3.98,1.05,18
103159,1030,0,4.98,3.14,0
100258,1033,14,3.98,1.05,45
103159,1033,1,4.98,3.14,0
100258,1043,16,3.98,1.05,14
103159,1043,23,4.98,3.14,28.83168317
100258,1058,16,3.98,1.05,16
103159,1058,0,4.98,3.14,0
100258,1071,18,3.98,1.05,15
101466675,1071,12,8.98,6.34,45
103159,1071,0,4.98,3.14,0
100258,1077,15,3.98,1.05,27
101466675,1077,6,8.98,6.34,68
103159,1077,0,4.98,3.14,0
100258,1080,14,3.98,1.05,33
103159,1080,1,4.98,3.14,1.56223176
100258,1091,15,3.98,1.05,18
103159,1091,0,4.98,3.14,0
100258,2800,14,3.98,1.05,25
103159,2800,0,4.98,3.14,0
100258,2801,16,3.98,1.05,39
103159,2801,0,4.98,3.14,0
100258,2803,19,3.98,1.05,20
103159,2803,0,4.98,3.14,0
100258,2806,15,3.98,1.05,24
103159,2806,0,4.98,3.14,0
100258,2809,27,3.98,1.05,35
101466675,2809,10,8.98,6.34,59
103159,2809,3,4.98,3.14,3.655290102
100258,2810,15,3.98,1.05,26
103159,2810,0,4.98,3.14,0
100258,2811,15,3.98,1.05,17
103159,2811,0,4.98,3.14,0
100258,2812,35,3.98,1.05,29
101466675,2812,15,8.98,6.34,47
103159,2812,0,4.98,3.14,0
100258,2813,18,3.98,1.05,16
101466675,2813,10,8.98,6.34,37
101890,2813,14,14.98,10.23,34
103159,2813,0,4.98,3.14,0
100258,2818,19,3.98,1.05,24
101466675,2818,10,8.98,6.34,29
103159,2818,0,4.98,3.14,0
100258,2822,16,3.98,1.05,17
101466675,2822,10,8.98,6.34,55
103159,2822,0,4.98,3.14,0
100258,2823,15,3.98,1.05,18
101466675,2823,11,8.98,6.34,34
103159,2823,0,4.98,3.14,0
100258,2826,17,3.98,1.05,15
103159,2826,3,4.98,3.14,8.4
100258,2827,15,3.98,1.05,18
101466675,2827,10,8.98,6.34,48
103159,2827,0,4.98,3.14,0
100258,2831,16,3.98,1.05,20
101466675,2831,16,8.98,6.34,81
103159,2831,0,4.98,3.14,0
100258,2841,15,3.98,1.05,30
103159,2841,0,4.98,3.14,0
100258,2842,16,3.98,1.05,24
101466675,2842,10,8.98,6.34,35
101890,2842,15,14.98,10.23,49
103159,2842,0,4.98,3.14,0
100258,512,0,3.98,1.05,0
101466675,512,0,8.98,6.34,0
101890,512,0,14.98,10.23,0
103159,512,0,4.98,3.14,0
100258,551,0,3.98,1.05,0
103159,551,0,4.98,3.14,0
100258,562,0,3.98,1.05,0
101466675,562,0,8.98,6.34,0
103159,562,0,4.98,3.14,0
100258,566,0,3.98,1.05,0
101466675,566,0,8.98,6.34,0
103159,566,0,4.98,3.14,0
100258,567,0,3.98,1.05,0
103159,567,0,4.98,3.14,0
100258,569,0,3.98,1.05,0
103159,569,0,4.98,3.14,0
100258,577,0,3.98,1.05,0
103159,577,0,4.98,3.14,0
103159,1000,0,5.49,3.14,0
103159,1001,0,5.29,3.14,0
103159,1003,4,5.29,3.14,10.20338983
103159,1004,0,5.49,3.14,0
103159,1005,1,4.99,3.14,2.121212121
103159,1007,2,5.49,3.14,1.080246914
103159,1010,1,5.49,3.14,2.0125
103159,1011,0,5.49,3.14,0
103159,1014,0,5.29,3.14,0
103159,1016,0,5.49,3.14,0
103159,1019,2,5.49,3.14,2.357388316
104879,1020,11,7.49,3.39,39
103159,1021,0,5.49,3.14,0
103159,1022,0,5.49,3.14,0
103159,1023,8,5.49,3.14,26.90909091
103159,1027,0,5.49,3.14,0
103159,1028,9,5.29,3.14,22.02797203
103159,1029,0,5.49,3.14,0
103159,1032,0,5.29,3.14,0
103159,1035,0,5.49,3.14,0
103159,1040,0,5.49,3.14,0
103159,1050,0,5.29,3.14,0
103159,1051,0,5.29,3.14,0
103159,1064,3,5.29,3.14,12
103159,1066,0,5.29,3.14,0
103159,1079,4,5.49,3.14,6.857142857
103159,1082,0,5.29,3.14,0
103159,1083,0,5.29,3.14,0
103159,1090,6,5.49,3.14,6.404255319
103159,1092,0,5.49,3.14,0
103159,1099,0,5.49,3.14,0
103159,1114,0,5.49,3.14,0
103159,1127,0,5.49,3.14,0
103159,1132,8,5.49,3.14,16.56804734
103159,1155,0,5.49,3.14,0
103159,1170,2,5.49,3.14,3.131578947
103159,1179,0,5.49,3.14,0
103159,1188,0,5.29,3.14,0
103159,1194,0,5.49,3.14,0
103159,1200,0,5.29,3.14,0
103159,1212,0,5.49,3.14,0
103159,1424,0,5.29,3.14,0
