sku,store,inventory,price,cost
1111,1001,29,10,4
1111,1002,61,10,4
1111,1003,135,10,4
1111,1004,72,10,4
1111,1005,80,10,4
1111,1006,125,10,4
1111,1007,148,10,4
1111,1008,74,10,4
1111,1009,89,10,4
1111,1010,57,10,4
1111,1011,106,10,4
1111,1012,88,10,4
1111,1013,79,10,4
1111,1014,102,10,4
1111,1015,75,10,4
1111,1016,151,10,4
1111,1017,141,10,4
1111,1018,50,10,4
1111,1019,124,10,4
1111,1020,132,10,4
1111,1021,60,10,4
1111,1022,153,10,4
1111,1023,49,10,4
1111,1024,111,10,4
1111,1025,153,10,4
1111,1026,97,10,4
1111,1027,102,10,4
1111,1028,133,10,4
1111,1029,100,10,4
1111,1030,102,10,4
1111,1031,88,10,4
1111,1032,117,10,4
1111,1033,27,10,4
1111,1034,39,10,4
1111,1035,57,10,4
1111,1036,72,10,4
1111,1037,142,10,4
1111,1038,152,10,4
1111,1039,82,10,4
1111,1040,39,10,4
1111,1041,64,10,4
1111,1042,141,10,4
1111,1043,161,10,4
1111,1044,55,10,4
1111,1045,41,10,4
1111,1046,62,10,4
1111,1047,34,10,4
1111,1048,46,10,4
1111,1049,106,10,4
1111,1050,61,10,4
1111,1051,93,10,4
1111,1052,85,10,4
1111,1053,88,10,4
1111,1054,102,10,4
1111,1055,145,10,4
1111,1056,97,10,4
1111,1057,67,10,4
1111,1058,27,10,4
1111,1059,89,10,4
1111,1060,152,10,4
1111,1061,135,10,4
1111,1062,64,10,4
1111,1063,84,10,4
1111,1064,90,10,4
1111,1065,107,10,4
1111,1066,67,10,4
1111,1067,100,10,4
1111,1068,74,10,4
1111,1069,126,10,4
1111,1070,78,10,4
1111,1071,143,10,4
1111,1072,124,10,4
1111,1073,34,10,4
1111,1074,49,10,4
1111,1075,40,10,4
1111,1076,30,10,4
1111,1077,30,10,4
1111,1078,83,10,4
1111,1079,127,10,4
1111,1080,50,10,4
1111,1081,139,10,4
1111,1082,70,10,4
1111,1083,164,10,4
1111,1084,106,10,4
1111,1085,35,10,4
1111,1086,167,10,4
1111,1087,57,10,4
1111,1088,146,10,4
1111,1089,105,10,4
1111,1090,92,10,4
1111,1091,94,10,4
1111,1092,93,10,4
1111,1093,74,10,4
1111,1094,51,10,4
1111,1095,160,10,4
1111,1096,130,10,4
1111,1097,122,10,4
1111,1098,130,10,4
1111,1099,30,10,4
1111,1100,153,10,4
1111,1101,108,10,4
1111,1102,88,10,4
1111,1103,163,10,4
1111,1104,167,10,4
1111,1105,105,10,4
1111,1106,98,10,4
1111,1107,63,10,4
1111,1108,116,10,4
1111,1109,117,10,4
1111,1110,62,10,4
1111,1111,130,10,4
1111,1112,105,10,4
1111,1113,69,10,4
1111,1114,30,10,4
1111,1115,87,10,4
1111,1116,30,10,4
1111,1117,62,10,4
1111,1118,89,10,4
1111,1119,103,10,4
1111,1120,66,10,4
1111,1121,96,10,4
1111,1122,31,10,4
1111,1123,133,10,4
1111,1124,53,10,4
1111,1125,129,10,4
1111,1126,37,10,4
1111,1127,59,10,4
1111,1128,104,10,4
1111,1129,76,10,4
1111,1130,132,10,4
1111,1131,37,10,4
1111,1132,145,10,4
1111,1133,42,10,4
1111,1134,88,10,4
1111,1135,110,10,4
1111,1136,115,10,4
1111,1137,87,10,4
1111,1138,53,10,4
1111,1139,99,10,4
1111,1140,66,10,4
1111,1141,34,10,4
1111,1142,64,10,4
1111,1143,47,10,4
1111,1144,74,10,4
1111,1145,161,10,4
1111,1146,42,10,4
1111,1147,140,10,4
1111,1148,63,10,4
1111,1149,75,10,4
1111,1150,147,10,4
1111,1151,145,10,4
1111,1152,157,10,4
1111,1153,52,10,4
1111,1154,62,10,4
1111,1155,53,10,4
1111,1156,32,10,4
1111,1157,140,10,4
1111,1158,94,10,4
1111,1159,140,10,4
1111,1160,67,10,4
1111,1161,113,10,4
1111,1162,69,10,4
1111,1163,135,10,4
1111,1164,74,10,4
1111,1165,72,10,4
1111,1166,91,10,4
1111,1167,85,10,4
1111,1168,129,10,4
1111,1169,68,10,4
1111,1170,92,10,4
1111,1171,106,10,4
1111,1172,129,10,4
1111,1173,123,10,4
1111,1174,112,10,4
1111,1175,110,10,4
1111,1176,109,10,4
1111,1177,140,10,4
1111,1178,50,10,4
1111,1179,132,10,4
1111,1180,54,10,4
1111,1181,82,10,4
1111,1182,28,10,4
1111,1183,158,10,4
1111,1184,71,10,4
1111,1185,87,10,4
1111,1186,148,10,4
1111,1187,161,10,4
1111,1188,46,10,4
1111,1189,125,10,4
1111,1190,54,10,4
1111,1191,137,10,4
1111,1192,68,10,4
1111,1193,103,10,4
1111,1194,110,10,4
1111,1195,154,10,4
1111,1196,101,10,4
1111,1197,127,10,4
1111,1198,88,10,4
1111,1199,81,10,4
1111,1200,153,10,4
1111,1201,138,10,4
1111,1202,49,10,4
1111,1203,88,10,4
1111,1204,152,10,4
1111,1205,126,10,4
1111,1206,67,10,4
1111,1207,138,10,4
1111,1208,40,10,4
1111,1209,149,10,4
1111,1210,158,10,4
1111,1211,37,10,4
1111,1212,124,10,4
1111,1213,113,10,4
1111,1214,141,10,4
1111,1215,121,10,4
1111,1216,157,10,4
1111,1217,125,10,4
1111,1218,141,10,4
1111,1219,159,10,4
1111,1220,120,10,4
1111,1221,67,10,4
1111,1222,96,10,4
1111,1223,126,10,4
1111,1224,89,10,4
1111,1225,53,10,4
1111,1226,78,10,4
1111,1227,62,10,4
1111,1228,152,10,4
1111,1229,53,10,4
1111,1230,68,10,4
1111,1231,71,10,4
1111,1232,115,10,4
1111,1233,61,10,4
1111,1234,116,10,4
1111,1235,39,10,4
1111,1236,81,10,4
1111,1237,89,10,4
1111,1238,57,10,4
1111,1239,164,10,4
1111,1240,151,10,4
1111,1241,126,10,4
1111,1242,30,10,4
1111,1243,160,10,4
1111,1244,106,10,4
1111,1245,120,10,4
1111,1246,99,10,4
1111,1247,40,10,4
1111,1248,91,10,4
1111,1249,111,10,4
1111,1250,140,10,4
1111,1251,164,10,4
1111,1252,89,10,4
1111,1253,66,10,4
1111,1254,30,10,4
1111,1255,118,10,4
1111,1256,38,10,4
1111,1257,63,10,4
1111,1258,94,10,4
1111,1259,33,10,4
1111,1260,46,10,4
1111,1261,33,10,4
1111,1262,103,10,4
1111,1263,43,10,4
1111,1264,116,10,4
1111,1265,114,10,4
1111,1266,147,10,4
1111,1267,164,10,4
1111,1268,159,10,4
1111,1269,59,10,4
1111,1270,115,10,4
1111,1271,97,10,4
1111,1272,146,10,4
1111,1273,65,10,4
1111,1274,90,10,4
1111,1275,86,10,4
1111,1276,135,10,4
1111,1277,89,10,4
1111,1278,40,10,4
1111,1279,96,10,4
1111,1280,84,10,4
1111,1281,157,10,4
1111,1282,30,10,4
1111,1283,54,10,4
1111,1284,76,10,4
1111,1285,164,10,4
1111,1286,145,10,4
1111,1287,163,10,4
1111,1288,105,10,4
1111,1289,126,10,4
1111,1290,81,10,4
1111,1291,141,10,4
1111,1292,105,10,4
1111,1293,43,10,4
1111,1294,101,10,4
1111,1295,101,10,4
1111,1296,57,10,4
1111,1297,60,10,4
1111,1298,106,10,4
1111,1299,106,10,4
1111,1300,151,10,4
1111,1301,83,10,4
1111,1302,33,10,4
1111,1303,94,10,4
1111,1304,60,10,4
1111,1305,165,10,4
1111,1306,152,10,4
1111,1307,133,10,4
1111,1308,59,10,4
1111,1309,32,10,4
1111,1310,120,10,4
1111,1311,143,10,4
1111,1312,108,10,4
1111,1313,80,10,4
1111,1314,114,10,4
1111,1315,53,10,4
1111,1316,74,10,4
1111,1317,29,10,4
1111,1318,76,10,4
1111,1319,70,10,4
1111,1320,30,10,4
1111,1321,73,10,4
1111,1322,34,10,4
1111,1323,38,10,4
1111,1324,138,10,4
1111,1325,44,10,4
1111,1326,166,10,4
1111,1327,122,10,4
