sku,store,date,sales
1111,1001,1/6/2019,5
1111,1001,1/13/2019,1
1111,1001,1/20/2019,3
1111,1001,1/27/2019,24
1111,1001,2/3/2019,4
1111,1001,2/10/2019,6
1111,1001,2/17/2019,22
1111,1001,2/24/2019,5
1111,1001,3/3/2019,11
1111,1001,3/10/2019,2
1111,1001,3/17/2019,5
1111,1001,3/24/2019,6
1111,1001,3/31/2019,1
1111,1001,4/7/2019,2
1111,1001,4/14/2019,11
1111,1001,4/21/2019,7
1111,1001,4/28/2019,6
1111,1001,5/5/2019,2
1111,1001,5/12/2019,4
1111,1001,5/19/2019,2
1111,1001,5/26/2019,8
1111,1001,6/2/2019,19
1111,1001,6/9/2019,5
1111,1001,6/16/2019,2
1111,1001,6/23/2019,11
1111,1001,6/30/2019,4
1111,1001,7/7/2019,5
1111,1001,7/14/2019,14
1111,1001,7/21/2019,3
1111,1001,7/28/2019,10
1111,1001,8/4/2019,32
1111,1001,8/11/2019,19
1111,1001,8/18/2019,3
1111,1001,8/25/2019,2
1111,1001,9/1/2019,8
1111,1001,9/8/2019,11
1111,1001,9/15/2019,3
1111,1001,9/22/2019,9
1111,1001,9/29/2019,6
1111,1001,10/6/2019,54
1111,1001,10/13/2019,6
1111,1001,10/20/2019,3
1111,1001,10/27/2019,10
1111,1001,11/3/2019,1
1111,1001,11/10/2019,40
1111,1001,11/17/2019,6
1111,1001,11/24/2019,46
1111,1001,12/1/2019,11
1111,1001,12/8/2019,15
1111,1001,12/15/2019,13
1111,1001,12/22/2019,21
1111,1001,12/29/2019,8
1111,1002,1/6/2019,12
1111,1002,1/13/2019,9
1111,1002,1/20/2019,21
1111,1002,1/27/2019,20
1111,1002,2/3/2019,2
1111,1002,2/10/2019,2
1111,1002,2/17/2019,5
1111,1002,2/24/2019,4
1111,1002,3/3/2019,3
1111,1002,3/10/2019,43
1111,1002,3/17/2019,8
1111,1002,3/24/2019,10
1111,1002,3/31/2019,5
1111,1002,4/7/2019,4
1111,1002,4/14/2019,5
1111,1002,4/21/2019,3
1111,1002,4/28/2019,1
1111,1002,5/5/2019,11
1111,1002,5/12/2019,9
1111,1002,5/19/2019,6
1111,1002,5/26/2019,4
1111,1002,6/2/2019,4
1111,1002,6/9/2019,15
1111,1002,6/16/2019,11
1111,1002,6/23/2019,3
1111,1002,6/30/2019,4
1111,1002,7/7/2019,39
1111,1002,7/14/2019,9
1111,1002,7/21/2019,22
1111,1002,7/28/2019,9
1111,1002,8/4/2019,15
1111,1002,8/11/2019,7
1111,1002,8/18/2019,9
1111,1002,8/25/2019,16
1111,1002,9/1/2019,34
1111,1002,9/8/2019,8
1111,1002,9/15/2019,11
1111,1002,9/22/2019,6
1111,1002,9/29/2019,9
1111,1002,10/6/2019,10
1111,1002,10/13/2019,7
1111,1002,10/20/2019,8
1111,1002,10/27/2019,11
1111,1002,11/3/2019,1
1111,1002,11/10/2019,3
1111,1002,11/17/2019,13
1111,1002,11/24/2019,2
1111,1002,12/1/2019,24
1111,1002,12/8/2019,27
1111,1002,12/15/2019,3
1111,1002,12/22/2019,8
1111,1002,12/29/2019,8
1111,1003,1/6/2019,6
1111,1003,1/13/2019,1
1111,1003,1/20/2019,20
1111,1003,1/27/2019,2
1111,1003,2/3/2019,6
1111,1003,2/10/2019,0
1111,1003,2/17/2019,8
1111,1003,2/24/2019,4
1111,1003,3/3/2019,9
1111,1003,3/10/2019,8
1111,1003,3/17/2019,1
1111,1003,3/24/2019,15
1111,1003,3/31/2019,22
1111,1003,4/7/2019,12
1111,1003,4/14/2019,5
1111,1003,4/21/2019,7
1111,1003,4/28/2019,10
1111,1003,5/5/2019,13
1111,1003,5/12/2019,1
1111,1003,5/19/2019,4
1111,1003,5/26/2019,2
1111,1003,6/2/2019,6
1111,1003,6/9/2019,3
1111,1003,6/16/2019,12
1111,1003,6/23/2019,13
1111,1003,6/30/2019,2
1111,1003,7/7/2019,1
1111,1003,7/14/2019,6
1111,1003,7/21/2019,7
1111,1003,7/28/2019,2
1111,1003,8/4/2019,2
1111,1003,8/11/2019,12
1111,1003,8/18/2019,17
1111,1003,8/25/2019,20
1111,1003,9/1/2019,2
1111,1003,9/8/2019,5
1111,1003,9/15/2019,6
1111,1003,9/22/2019,18
1111,1003,9/29/2019,7
1111,1003,10/6/2019,4
1111,1003,10/13/2019,2
1111,1003,10/20/2019,2
1111,1003,10/27/2019,13
1111,1003,11/3/2019,30
1111,1003,11/10/2019,11
1111,1003,11/17/2019,4
1111,1003,11/24/2019,4
1111,1003,12/1/2019,6
1111,1003,12/8/2019,16
1111,1003,12/15/2019,5
1111,1003,12/22/2019,4
1111,1003,12/29/2019,7
1111,1004,1/6/2019,0
1111,1004,1/13/2019,12
1111,1004,1/20/2019,1
