sku,store,date,sales,division,salesqty
101466675,1155,5/24/2020,6.99,9,1
103159,1040,2/28/2021,21.96,9,4
101466675,1051,3/22/2020,59.94,9,6
100258,1066,10/4/2020,23.94,9,6
101890,1194,3/22/2020,89.95,9,5
100258,1005,5/23/2021,24.43,9,7
101466675,1092,11/24/2019,19.98,9,2
103159,1212,11/1/2020,54.9,9,10
101890,1127,10/13/2019,35.98,9,2
100258,1127,6/16/2019,4.49,9,1
104879,1014,7/14/2019,14.98,9,2
104879,1208,3/3/2019,7.99,9,1
101466675,1079,3/14/2021,9.99,9,1
101466675,1004,12/13/2020,26.97,9,3
103159,1194,10/27/2019,16.47,9,3
101466675,1001,2/23/2020,9.99,9,1
101890,1051,9/22/2019,17.99,9,1
104879,1019,6/9/2019,29.95,9,5
100258,1000,10/27/2019,4.49,9,1
103159,1029,2/23/2020,71.37,9,13
103159,1000,4/12/2020,16.47,9,3
104879,1027,11/29/2020,4.99,9,1
101466675,1035,1/13/2019,48,9,6
103159,1004,2/24/2019,21.96,9,4
101466675,1188,12/26/2021,15.98,9,2
101466675,1154,2/28/2021,9.99,9,1
100258,1021,4/14/2019,26.94,9,6
103159,1114,8/2/2020,16.47,9,3
101890,1027,1/24/2021,50.97,9,3
100258,1424,1/31/2021,3.99,9,1
103159,1019,8/4/2019,10.98,9,2
101466675,1155,3/7/2021,9.99,9,1
100258,1082,10/20/2019,13.47,9,3
101466675,1007,4/14/2019,31.96,9,4
101466675,1003,2/7/2021,15.98,9,2
101890,1114,12/20/2020,16.99,9,1
101890,1027,11/15/2020,50.97,9,3
103159,1032,7/19/2020,15.87,9,3
101466675,1028,5/23/2021,23.97,9,3
101466675,1099,11/29/2020,35.96,9,4
103159,1001,5/19/2019,5.29,9,1
101890,1040,6/13/2021,16.99,9,1
101890,1022,6/6/2021,16.99,9,1
101466675,1179,4/11/2021,15.98,9,2
103159,1032,3/10/2019,5.29,9,1
101466675,1023,8/2/2020,23.97,9,3
100258,1188,8/16/2020,31.43,9,7
100258,1022,1/24/2021,27.93,9,7
103159,1016,9/1/2019,5.49,9,1
103159,1040,4/21/2019,21.96,9,4
101466675,1028,6/20/2021,9.99,9,1
101466675,1090,6/30/2019,7.99,9,1
101466675,1082,5/5/2019,20.97,9,3
100258,1099,9/15/2019,26.94,9,6
100258,1132,9/13/2020,4.49,9,1
100258,1010,3/24/2019,17.96,9,4
101466675,1001,4/12/2020,23.97,9,3
103159,1083,11/17/2019,37.03,9,7
104879,1064,4/4/2021,14.97,9,3
101466675,1035,4/18/2021,71.91,9,9
101890,1212,7/19/2020,35.98,9,2
101890,1028,12/20/2020,16.99,9,1
101466675,1155,2/28/2021,9.99,9,1
101890,1050,5/16/2021,33.98,9,2
101466675,1114,1/3/2021,9.99,9,1
104879,1127,12/20/2020,29.96,9,4
103159,1099,8/23/2020,21.96,9,4
100258,1035,9/8/2019,4.49,9,1
104879,1092,4/18/2021,22.47,9,3
100258,1188,6/20/2021,15.96,9,4
100258,1208,6/23/2019,4.49,9,1
104879,1090,4/25/2021,11.98,9,2
100258,1014,8/18/2019,13.47,9,3
103159,1155,3/29/2020,76.86,9,14
104879,1051,5/17/2020,83.86,9,14
101890,1127,1/20/2019,34.97,9,3
101890,1021,1/27/2019,17.49,9,1
101890,1028,5/10/2020,35.98,9,2
104879,1114,9/22/2019,29.95,9,5
101890,1127,1/3/2021,16.99,9,1
100258,1170,5/26/2019,22.45,9,5
103159,1007,7/12/2020,49.41,9,9
103159,1010,3/15/2020,16.47,9,3
103159,1023,2/2/2020,5.49,9,1
101890,1014,5/2/2021,16.99,9,1
101890,1050,1/17/2021,67.96,9,4
103159,1099,11/22/2020,49.41,9,9
104879,1212,6/14/2020,22.47,9,3
104879,1114,5/23/2021,7.49,9,1
100258,1092,4/11/2021,27.93,9,7
103159,1003,5/26/2019,5.29,9,1
104879,1010,6/20/2021,20.97,9,3
101466675,1127,7/28/2019,39.95,9,5
101890,1004,1/10/2021,50.97,9,3
101466675,1127,12/8/2019,19.98,9,2
103159,1007,6/7/2020,60.39,9,11
103159,1212,6/16/2019,38.43,9,7
101890,1011,6/14/2020,17.99,9,1
101890,1082,2/14/2021,15.99,9,1
101466675,1170,12/26/2021,47.94,9,6
100258,1090,10/4/2020,3.99,9,1
101466675,1027,1/12/2020,9.99,9,1
103159,1010,1/6/2019,10.98,9,2
103159,1027,5/17/2020,10.98,9,2
103159,1079,6/16/2019,10.98,9,2
104879,1127,9/27/2020,5.99,9,1
103159,1016,2/2/2020,10.98,9,2
101890,1007,4/26/2020,35.98,9,2
101890,1003,6/23/2019,52.45,9,5
104879,1090,3/31/2019,18.98,9,2
100258,1001,1/3/2021,11.97,9,3
101890,1027,12/13/2020,33.98,9,2
100258,1212,1/6/2019,8.58,9,2
104879,1066,7/28/2019,20.97,9,3
103159,1132,12/15/2019,32.94,9,6
100258,1032,3/21/2021,3.99,9,1
104879,1099,8/9/2020,22.47,9,3
103159,1090,9/8/2019,0,9,0
100258,1082,4/4/2021,15.96,9,4
100258,1092,5/30/2021,11.97,9,3
103159,1007,11/15/2020,54.9,9,10
100258,1021,5/16/2021,23.94,9,6
104879,1064,11/15/2020,14.98,9,2
101890,1050,6/16/2019,29.98,9,2
100258,1079,7/28/2019,4.49,9,1
101466675,1028,11/8/2020,19.98,9,2
101466675,1010,1/27/2019,15.98,9,2
103159,1005,5/3/2020,24.95,9,5
101466675,1022,9/6/2020,7.99,9,1
104879,1019,3/8/2020,14.98,9,2
100258,1035,6/7/2020,13.47,9,3
100258,1000,1/3/2021,3.99,9,1
101466675,1095,2/2/2020,9.99,9,1
101466675,1092,8/25/2019,15.98,9,2
101466675,1132,4/18/2021,23.97,9,3
103159,1079,1/26/2020,27.45,9,5
104879,1142,4/25/2021,23.48,9,4
101466675,1032,12/20/2020,17.98,9,2
100258,1170,8/11/2019,8.98,9,2
101466675,1082,9/27/2020,19.98,9,2
100258,1040,5/2/2021,11.97,9,3
104879,1028,8/30/2020,44.94,9,6
103159,1188,10/6/2019,21.16,9,4
100258,1028,5/17/2020,26.94,9,6
100258,1003,5/19/2019,8.98,9,2
100258,1027,6/2/2019,17.96,9,4
103159,1050,10/27/2019,10.58,9,2
101466675,1029,9/6/2020,7.99,9,1
103159,1050,10/4/2020,10.58,9,2
101466675,1014,10/25/2020,9.99,9,1
100258,1001,10/20/2019,8.98,9,2
103159,1028,9/29/2019,5.29,9,1
103159,1005,2/28/2021,14.97,9,3
101466675,1095,2/23/2020,29.97,9,3
100258,1035,5/31/2020,35.92,9,8
101466675,1132,5/5/2019,55.92,9,8
103159,1005,10/11/2020,4.99,9,1
101890,1003,8/30/2020,26.87,9,3
100258,1014,2/23/2020,22.45,9,5
104879,1083,5/17/2020,35.94,9,6
103159,1170,5/10/2020,32.94,9,6
101890,1014,1/27/2019,33.38,9,2
101466675,1174,2/14/2021,9.99,9,1
104879,1014,12/6/2020,11.98,9,2
100258,1040,6/28/2020,35.92,9,8
100258,1082,4/26/2020,31.43,9,7
104879,1066,11/22/2020,29.96,9,4
103159,1212,10/25/2020,71.37,9,13
103159,1040,12/1/2019,38.43,9,7
100258,1007,2/2/2020,31.43,9,7
101466675,1050,2/7/2021,63.92,9,8
101466675,1007,8/25/2019,15.98,9,2
104879,1040,5/3/2020,29.96,9,4
104879,1092,2/17/2019,23.96,9,4
104879,1424,3/21/2021,7.49,9,1
103159,1066,6/28/2020,52.9,9,10
101890,1066,7/7/2019,29.98,9,2
101466675,1003,9/1/2019,7.99,9,1
101890,1003,9/6/2020,4.44,9,1
104879,1092,2/24/2019,7.99,9,1
103159,1016,6/14/2020,16.47,9,3
103159,1099,10/18/2020,21.96,9,4
100258,1027,1/5/2020,4.49,9,1
104879,1082,6/16/2019,5.99,9,1
104879,1079,5/23/2021,22.47,9,3
100258,1003,10/4/2020,3.99,9,1
101466675,1066,8/18/2019,15.98,9,2
100258,1079,2/7/2021,35.91,9,9
101890,1064,5/16/2021,33.98,9,2
103159,1022,8/25/2019,16.47,9,3
103159,1188,12/6/2020,26.45,9,5
104879,1028,8/16/2020,22.47,9,3
101890,1212,10/18/2020,16.99,9,1
104879,1040,10/27/2019,29.96,9,4
104879,1011,12/26/2021,7.49,9,1
100258,1200,9/8/2019,17.96,9,4
100258,1154,2/17/2019,17.36,9,4
104879,1000,2/28/2021,7.49,9,1
101890,1050,3/24/2019,83.45,9,5
100258,1004,3/1/2020,4.49,9,1
103159,1051,4/4/2021,47.61,9,9
103159,1004,2/21/2021,38.43,9,7
101466675,1154,4/18/2021,7.99,9,1
104879,1003,12/22/2019,82.39,9,11
104879,1028,5/9/2021,5.99,9,1
101890,1212,5/5/2019,17.99,9,1
101890,1050,10/18/2020,50.97,9,3
100258,1127,3/10/2019,13.47,9,3
101466675,1019,8/2/2020,47.94,9,6
101466675,1051,7/12/2020,15.98,9,2
100258,1010,10/18/2020,3.99,9,1
104879,1082,12/6/2020,23.96,9,4
104879,1064,5/3/2020,7.49,9,1
103159,1000,5/19/2019,27.45,9,5
100258,1127,4/26/2020,35.92,9,8
100258,1170,10/4/2020,3.99,9,1
103159,1005,3/17/2019,4.99,9,1
100258,1000,8/18/2019,8.98,9,2
104879,1035,6/9/2019,47.92,9,8
101466675,1051,10/27/2019,9.99,9,1
104879,1066,6/6/2021,14.98,9,2
101466675,1079,7/28/2019,15.98,9,2
100258,1127,9/29/2019,8.98,9,2
101466675,1194,10/25/2020,19.98,9,2
100258,1194,2/28/2021,15.96,9,4
100258,1127,5/24/2020,8.98,9,2
104879,1016,4/19/2020,37.45,9,5
104879,1005,9/6/2020,104.85,9,15
103159,1032,12/29/2019,5.29,9,1
104879,1050,8/18/2019,35.94,9,6
101466675,1127,4/12/2020,39.95,9,5
101466675,1082,4/12/2020,15.98,9,2
101466675,1003,9/15/2019,31.96,9,4
103159,1099,2/17/2019,16.47,9,3
104879,1028,6/20/2021,6.99,9,1
103159,1200,3/15/2020,15.87,9,3
